17_OD_mgl_02,18_PH,50_Condutivida_de_Eletrica_us_cm_a_20c,13_Nitratos_mgl_n),46_Coliformes_Fecais_nmp_100ml,47_Coliformes_Totais_nmp_100ml,7_DBO_mgl_02)
6.8,6.9,68.2,0.13,30.0,70.0,2.0
4.7,6.5,57.5,0.25,800.0,2300.0,2.0
6.6,7.4,64.5,0.15,170.0,500.0,2.0
4.7,6.5,57.5,0.25,800.0,2300.0,2.0
6.6,7.4,64.5,0.15,170.0,500.0,2.0
7.8,6.8,64.9,0.18,30.0,50.0,2.0
6.8,6.9,68.2,0.13,30.0,70.0,2.0
4.7,6.5,,0.25,800.0,,2.0
6.6,7.4,,0.15,170.0,,2.0
7.8,6.8,,0.18,30.0,,2.0
6.8,6.9,,0.13,30.0,,2.0
6.3,7.3,46.0,0.17,2200.0,11000.0,2.0
7.2,7.2,56.3,0.14,230.0,3000.0,2.0
8.1,7.4,62.7,0.12,30.0,130.0,2.0
6.7,7.1,38.2,0.29,90.0,1300.0,3.0
6.3,7.3,46.0,0.17,2200.0,11000.0,2.0
7.2,7.2,56.3,0.14,230.0,3000.0,2.0
8.1,7.4,62.7,0.12,30.0,130.0,2.0
6.7,7.1,38.2,0.29,90.0,1300.0,3.0
6.3,7.3,,0.17,2200.0,,2.0
7.2,7.2,,0.14,230.0,,2.0
8.1,7.4,,0.12,30.0,,2.0
6.7,7.1,,0.29,90.0,,3.0
6.6,7.3,,0.19,220.0,,2.0
7.2,6.9,,0.16,1300.0,,2.0
7.1,6.9,,0.14,170.0,,2.0
6.5,7.2,,0.11,350.0,,2.0
6.2,7.1,,0.15,90.0,,2.0
7.3,7.3,,0.1,140.0,,2.0
7.8,7.3,,0.08,2.0,,2.0
7.0,7.2,,0.12,230.0,,2.0
5.9,7.0,,0.04,1100.0,,2.0
6.5,6.9,,0.08,500.0,,2.0
7.4,7.1,,0.01,50.0,,2.0
5.9,6.3,,0.01,5000.0,,2.0
5.5,6.0,,0.12,,,2.0
7.2,6.4,,0.08,,,2.0
7.8,6.9,,0.1,,,2.0
6.6,7.1,,0.37,,,2.0
5.5,6.0,,0.12,500.0,,2.0
7.2,6.4,,0.08,800.0,,2.0
7.8,6.9,,0.1,170.0,,2.0
6.6,7.1,,0.37,300.0,,2.0
6.0,6.4,,0.0,13000.0,,2.0
7.5,6.6,,0.0,2200.0,,2.3
7.6,6.6,,0.0,50.0,,2.0
6.6,7.4,,0.0,170.0,,2.0
6.5,7.4,,0.12,170.0,,2.0
7.4,6.4,,0.12,23.0,,2.0
7.6,6.4,,0.64,2300.0,,2.0
6.1,6.1,,0.14,13000.0,,2.0
6.7,,,0.32,,17329.0,2.0
7.7,,,0.43,,12996.0,2.0
8.3,7.3,,0.34,,24196.0,2.0
9.5,7.5,,0.7,,4106.0,2.0
7.5,7.0,49.4,0.5,,24196.0,
8.5,7.3,82.0,0.18,,12996.5,
6.9,6.7,,0.78,,6488.2,2.0
8.0,6.8,,0.48,,2851.0,2.0
4.7,6.7,,0.31,,15531.2,2.0
7.6,7.2,,0.1,,24196.0,2.0
,7.3,12.0,,,,
,7.4,12.0,,,,
,,10.0,,,,
8.1,,32.0,,,,
,,16.0,,,,
7.7,,13.0,,,,
9.0,7.7,14.0,,,,
8.0,6.6,11.0,,,,
6.6,6.1,9.3,,,,
7.4,7.1,9.0,,,,
7.5,7.34,10.0,,,,
6.4,7.6,12.6,,,,
6.1,6.42,12.0,,,,
,7.27,10.0,,,,
,6.53,10.0,,,,
6.54,6.78,10.0,,,,
7.84,6.34,9.0,,,,
,6.39,13.03,,,,
4.95,6.73,12.85,,,,
6.99,6.28,11.0,,,,
5.78,6.07,12.0,,,,
7.43,6.53,10.21,,,,
8.04,6.45,10.0,,,,
6.3,6.37,12.0,,,,
3.33,6.49,7.0,,,,
7.4,6.41,10.0,,,,
6.05,6.79,17.0,,,,
,7.1,63.7,,,,
7.1,6.16,11.0,,,,
7.09,6.18,12.0,,,,
6.24,6.37,12.0,,,,
6.4,6.92,10.0,,,,
5.76,6.43,14.0,,,,
5.51,6.11,16.0,,,,
,6.9,10.0,,,,
6.42,7.24,15.0,,,,
8.05,5.74,7.0,,,,
8.22,6.72,10.8,,,,
8.32,6.16,11.8,,,,
7.43,6.93,15.5,,,,
7.82,7.32,14.9,,,,
9.13,7.18,11.6,,,,
7.88,6.57,12.8,,,,
7.84,6.96,14.6,,,,
8.76,5.22,10.5,,,,
6.75,6.44,14.1,,,,
8.21,6.92,8.2,,,,
8.04,6.89,,,,,
8.45,6.75,13.6,,,,
7.81,7.77,10.1,,,,
9.37,7.22,10.3,,,,
14.9,7.22,,,,,
8.64,7.43,10.6,,,,
8.64,7.43,10.6,,,,
9.05,7.25,,,,,
8.27,7.21,12.8,,,,
,7.0,45.0,,,,
,6.5,,,,,
,7.0,11.0,,,,
,,16.0,,,,
8.6,8.3,32.0,,,,
7.7,,71.0,,,,
8.2,,,,,,
8.3,,30.0,,,,
7.2,7.2,30.7,,,,
7.2,6.9,30.0,,,,
7.0,7.3,28.0,,,,
7.4,6.81,31.0,,,,
6.3,6.52,33.7,,,,
5.1,6.5,32.0,,,,
,7.51,30.0,,,,
,6.45,28.0,,,,
5.46,6.26,9.0,,,,
7.33,7.03,25.0,,,,
5.52,7.05,26.05,,,,
6.48,6.12,14.0,,,,
6.15,6.7,27.0,,,,
7.83,7.0,26.81,,,,
7.36,6.66,26.0,,,,
5.93,7.03,32.0,,,,
3.24,6.37,16.0,,,,
7.24,6.69,26.0,,,,
5.2,6.87,30.0,,,,
,7.4,28.4,,,,
4.09,6.76,29.0,,,,
,7.74,28.0,,,,
5.9,6.41,23.0,,,,
6.77,6.84,26.0,,,,
5.04,7.2,31.0,,,,
5.81,6.3,21.0,,,,
,6.9,24.2,,,,
6.22,7.43,33.0,,,,
7.36,5.73,13.0,,,,
8.08,6.28,31.9,,,,
7.79,6.84,34.4,,,,
6.47,6.76,16.5,,,,
7.17,7.07,22.7,,,,
8.12,7.18,28.8,,,,
7.94,6.95,33.4,,,,
8.11,6.76,17.2,,,,
8.17,6.92,26.5,,,,
8.22,6.53,32.8,,,,
5.72,4.94,24.8,,,,
7.62,6.5,27.8,,,,
7.8,7.39,,,,,
7.64,6.86,33.6,,,,
7.4,7.51,25.3,,,,
9.01,7.45,29.6,,,,
34.9,7.51,,,,,
8.11,7.18,27.3,,,,
8.11,7.18,27.3,,,,
7.55,7.18,19.1,,,,
,6.8,30.0,,,,
,8.1,,,,,
,7.5,10.0,,,,
